"Supplemental Table 3. PCA, clustering, and GO enrichment analysis results. Note GO enrichment was not performed on the pale turquoise clade because this clade did not show temperature differences.",,,,,,,,,,,,,
protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_BRAFLDRAFT_86890.2.4.m.23914,-0.004308943,-0.006315407,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; myosin binding [GO:0017022]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cellular response to leukemia inhibitory factor [GO:1990830]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of neuron apoptotic process [GO:0043523],NA,NA,NA
CHOYP_BRAFLDRAFT_87283.1.1.m.46768,-0.002120788,-0.008918373,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_87294.6.6.m.64622,-0.002120788,-0.008918373,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_87336.4.9.m.23926,-0.016959105,0.009602069,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_87429.1.1.m.43808,-0.010193089,-0.009993728,No,NA,NA,NA,NA,NA,NA,Golgi apparatus [GO:0005794]; Golgi organization [GO:0007030]; lipid homeostasis [GO:0055088]; liver development [GO:0001889]; protein N-linked glycosylation [GO:0006487]; protein secretion [GO:0009306]; regulation of response to endoplasmic reticulum stress [GO:1905897]; retina development in camera-type eye [GO:0060041]; vesicle-mediated transport [GO:0016192],NA,NA,NA
CHOYP_BRAFLDRAFT_87630.1.1.m.30352,0.010902063,-0.000442899,No,NA,NA,NA,NA,NA,NA,endoplasmic reticulum membrane [GO:0005789]; organelle membrane [GO:0031090]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; NAD(P)H as one donor; and incorporation of one atom of oxygen [GO:0016709]; oxygen binding [GO:0019825]; retinoic acid 4-hydroxylase activity [GO:0008401]; retinoic acid binding [GO:0001972]; kidney development [GO:0001822]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; oxidation-reduction process [GO:0055114]; response to retinoic acid [GO:0032526]; response to vitamin A [GO:0033189]; retinoic acid catabolic process [GO:0034653]; retinoic acid metabolic process [GO:0042573]; sterol metabolic process [GO:0016125]; vitamin metabolic process [GO:0006766]; xenobiotic metabolic process [GO:0006805],NA,NA,NA
CHOYP_BRAFLDRAFT_87634.1.1.m.39992,0.002179971,-0.008072714,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_87662.1.1.m.5474,-0.003409895,0.004608349,No,NA,NA,NA,NA,NA,NA,N-acylglucosamine 2-epimerase activity [GO:0050121]; peptidase inhibitor activity [GO:0030414]; N-acetylglucosamine metabolic process [GO:0006044]; N-acetylmannosamine metabolic process [GO:0006051]; N-acetylneuraminate catabolic process [GO:0019262],NA,NA,NA
CHOYP_BRAFLDRAFT_87806.1.1.m.28308,0.002635878,-0.001841684,No,NA,NA,NA,NA,NA,NA,endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; fucosyltransferase activity [GO:0008417]; peptide-O-fucosyltransferase activity [GO:0046922]; angiogenesis [GO:0001525]; fucose metabolic process [GO:0006004]; heart development [GO:0007507]; nervous system development [GO:0007399]; Notch signaling pathway [GO:0007219]; protein O-linked glycosylation [GO:0006493]; regulation of Notch signaling pathway [GO:0008593]; somitogenesis [GO:0001756],NA,NA,NA
CHOYP_BRAFLDRAFT_88012.1.1.m.12815,-0.017844602,0.004916895,No,NA,NA,NA,NA,NA,NA,mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; NADPH-adrenodoxin reductase activity [GO:0015039]; cholesterol metabolic process [GO:0008203],NA,NA,NA
CHOYP_BRAFLDRAFT_88018.1.1.m.50147,-0.014642752,-0.011457665,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; integrin binding [GO:0005178]; cell adhesion [GO:0007155]; multicellular organism development [GO:0007275]; positive regulation of cell-substrate adhesion [GO:0010811],NA,NA,NA
CHOYP_BRAFLDRAFT_88218.8.8.m.64733,0.000514616,0.002493788,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; myosin binding [GO:0017022]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; cellular response to leukemia inhibitory factor [GO:1990830]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; regulation of neuron apoptotic process [GO:0043523],NA,NA,NA
CHOYP_BRAFLDRAFT_88219.1.5.m.37187,0.005218096,-0.002181987,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; dendrite [GO:0030425]; early endosome [GO:0005769]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; postsynapse [GO:0098794]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031],NA,NA,NA
CHOYP_BRAFLDRAFT_88223.10.22.m.35410,-0.007739808,0.000642056,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_88223.5.22.m.23899,0.003647786,-0.008720528,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; dendrite [GO:0030425]; early endosome [GO:0005769]; glutamatergic synapse [GO:0098978]; Golgi apparatus [GO:0005794]; postsynapse [GO:0098794]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031],NA,NA,NA
CHOYP_BRAFLDRAFT_88223.9.22.m.34933,0.005694786,-0.006482599,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]; defense response to virus [GO:0051607]; interferon-beta production [GO:0032608]; protein K63-linked ubiquitination [GO:0070534]; response to type I interferon [GO:0034340],NA,NA,NA
CHOYP_BRAFLDRAFT_88224.2.11.m.3212,0.005429046,0.012139597,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; dendrite [GO:0030425]; early endosome [GO:0005769]; Golgi apparatus [GO:0005794]; protein C-terminus binding [GO:0008022]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]; nervous system development [GO:0007399]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein polyubiquitination [GO:0000209]; protein transport [GO:0015031],NA,NA,NA
CHOYP_BRAFLDRAFT_88506.1.1.m.64174,0.003090299,-0.018170619,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_BRAFLDRAFT_88543.1.2.m.54473,-0.014626066,-0.006049572,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_88566.3.11.m.5108,0.005029166,-0.005201334,No,NA,NA,NA,NA,NA,NA,basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular exosome [GO:0070062]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; extracellular matrix structural constituent [GO:0005201]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617]; visual perception [GO:0007601],NA,NA,NA
CHOYP_BRAFLDRAFT_88570.1.2.m.55232,-0.004737122,-0.013941275,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_88583.1.1.m.56300,0.000849183,-0.005875164,No,NA,NA,NA,NA,NA,NA,calcium ion binding [GO:0005509]; zinc ion binding [GO:0008270],NA,NA,NA
CHOYP_BRAFLDRAFT_88596.1.2.m.24206,0.008270134,-0.009127376,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; membrane [GO:0016020]; chitin binding [GO:0008061]; metal ion binding [GO:0046872],NA,NA,NA
CHOYP_BRAFLDRAFT_89105.1.1.m.2234,-0.004308943,-0.006315407,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89330.1.1.m.23864,0.00059236,-0.009654855,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89362.1.1.m.49683,0.005397541,0.001488221,No,NA,NA,NA,NA,NA,NA,catalytic step 2 spliceosome [GO:0071013]; nuclear speck [GO:0016607]; U2 snRNP [GO:0005686]; U2-type prespliceosome [GO:0071004]; U2-type spliceosomal complex [GO:0005684]; RNA binding [GO:0003723]; mRNA splicing; via spliceosome [GO:0000398],NA,NA,NA
CHOYP_BRAFLDRAFT_89535.1.1.m.6232,-0.011390081,-0.003739039,No,NA,NA,NA,NA,NA,NA,ciliary transition zone [GO:0035869]; lipid binding [GO:0008289]; cilium assembly [GO:0060271]; lipoprotein transport [GO:0042953]; nervous system development [GO:0007399],NA,NA,NA
CHOYP_BRAFLDRAFT_89536.1.1.m.26678,-0.010697249,0.003147204,No,NA,NA,NA,NA,NA,NA,nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Sin3 complex [GO:0016580]; Sin3-type complex [GO:0070822]; transcriptional repressor complex [GO:0017053]; metal ion binding [GO:0046872]; phosphatidylinositol binding [GO:0035091]; transcription corepressor activity [GO:0003714]; transcription corepressor binding [GO:0001222]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription; DNA-templated [GO:0045892],NA,NA,NA
CHOYP_BRAFLDRAFT_89744.1.1.m.29497,-0.005121222,0.009922145,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; brain development [GO:0007420]; cell differentiation [GO:0030154]; spinal cord development [GO:0021510],NA,NA,NA
CHOYP_BRAFLDRAFT_89746.1.2.m.29425,-0.011948394,-0.024131902,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; signaling receptor activity [GO:0038023]; cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; Notch signaling pathway [GO:0007219]; regulation of developmental process [GO:0050793]; regulation of transcription; DNA-templated [GO:0006355]; tissue regeneration [GO:0042246]; wound healing [GO:0042060],NA,NA,NA
CHOYP_BRAFLDRAFT_89869.1.3.m.28871,-0.014828775,0.007677995,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89869.3.3.m.37644,0.003945368,0.002913697,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89870.1.1.m.15447,0.004351553,0.008608005,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89920.1.1.m.13963,0.007185529,-0.022178619,No,NA,NA,NA,NA,NA,NA,nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA; 5.8S rRNA; LSU-rRNA) [GO:0000462]; rRNA processing [GO:0006364],NA,NA,NA
CHOYP_BRAFLDRAFT_89952.1.1.m.59629,0.004328349,-0.012409853,No,NA,NA,NA,NA,NA,NA,axon [GO:0030424]; integral component of membrane [GO:0016021]; neuron projection [GO:0043005]; neuron projection terminus [GO:0044306]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; rough endoplasmic reticulum membrane [GO:0030867]; synapse [GO:0045202]; brain development [GO:0007420]; neuronal signal transduction [GO:0023041],NA,NA,NA
CHOYP_BRAFLDRAFT_89952.1.1.m.59630,0.010042649,0.013928152,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89961.1.3.m.5717,0.020667017,-0.00821474,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_89961.3.3.m.49198,0.01658802,-0.006083345,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_90098.1.4.m.3841,-0.010018881,-0.024759014,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]; amino-acid betaine catabolic process [GO:0006579]; methionine biosynthetic process [GO:0009086],NA,NA,NA
CHOYP_BRAFLDRAFT_90098.4.4.m.28113,0.00981593,0.008314837,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; betaine-homocysteine S-methyltransferase activity [GO:0047150]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086],NA,NA,NA
CHOYP_BRAFLDRAFT_90187.1.1.m.30393,-0.022224428,-0.00814433,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_90196.2.2.m.42787,-0.001954688,0.002635786,No,NA,NA,NA,NA,NA,NA,apical plasma membrane [GO:0016324]; basal plasma membrane [GO:0009925]; contractile fiber [GO:0043292]; cytoplasm [GO:0005737]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; L-ascorbate:sodium symporter activity [GO:0008520]; sodium-dependent L-ascorbate transmembrane transporter activity [GO:0070890]; L-ascorbic acid metabolic process [GO:0019852]; response to oxidative stress [GO:0006979]; transepithelial L-ascorbic acid transport [GO:0070904],NA,NA,NA
CHOYP_BRAFLDRAFT_90332.3.4.m.18933,0.021156863,-0.013124529,No,NA,NA,NA,NA,NA,NA,collagen trimer [GO:0005581]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular matrix structural constituent conferring tensile strength [GO:0030020]; cell adhesion [GO:0007155],NA,NA,NA
CHOYP_BRAFLDRAFT_90405.1.1.m.44167,0.004185384,-0.021309988,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; 13-prostaglandin reductase activity [GO:0036132]; 15-oxoprostaglandin 13-oxidase activity [GO:0047522]; 2-alkenal reductase [NAD(P)] activity [GO:0032440],NA,NA,NA
CHOYP_BRAFLDRAFT_90471.1.2.m.30257,-0.010602285,-0.006845473,No,NA,NA,NA,NA,NA,NA,cell cortex [GO:0005938]; cell leading edge [GO:0031252]; cell-cell junction [GO:0005911]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; endocytic vesicle [GO:0030139]; filamentous actin [GO:0031941]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; protein-containing complex [GO:0032991]; ruffle [GO:0001726]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; protein C-terminus binding [GO:0008022]; protein-containing complex binding [GO:0044877]; SH3 domain binding [GO:0017124]; vascular endothelial growth factor receptor binding [GO:0005172]; actin filament organization [GO:0007015]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell migration [GO:0016477]; cell-cell adhesion [GO:0098609]; negative regulation of small GTPase mediated signal transduction [GO:0051058]; negative regulation of transforming growth factor beta1 production [GO:0032911]; positive regulation of protein localization to nucleus [GO:1900182]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of actin cytoskeleton reorganization [GO:2000249]; regulation of receptor-mediated endocytosis [GO:0048259]; vesicle organization [GO:0016050],NA,NA,NA
CHOYP_BRAFLDRAFT_90679.1.1.m.33411,0.002179971,-0.008072714,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]; blood coagulation [GO:0007596]; fibrinolysis [GO:0042730]; tissue remodeling [GO:0048771],NA,NA,NA
CHOYP_BRAFLDRAFT_90706.2.2.m.29119,-0.022561061,0.009982174,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_90929.1.1.m.54454,-0.00749408,0.004201238,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; nuclear receptor transcription coactivator activity [GO:0030374]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; nuclear-transcribed mRNA catabolic process; nonsense-mediated decay [GO:0000184]; positive regulation of transcription by RNA polymerase II [GO:0045944],NA,NA,NA
CHOYP_BRAFLDRAFT_90953.1.1.m.48786,-0.011667777,0.019639523,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; ATP binding [GO:0005524]; galactokinase activity [GO:0004335]; galactose binding [GO:0005534]; galactitol metabolic process [GO:0019402]; galactose catabolic process [GO:0019388]; galactose catabolic process via UDP-galactose [GO:0033499]; galactose metabolic process [GO:0006012]; glycolytic process from galactose [GO:0061623],NA,NA,NA
CHOYP_BRAFLDRAFT_91062.1.1.m.77,-0.013572558,0.003886046,No,NA,NA,NA,NA,NA,NA,cell junction [GO:0030054]; cytoskeleton [GO:0005856]; Golgi stack [GO:0005795]; synapse [GO:0045202]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]; aging [GO:0007568]; intracellular signal transduction [GO:0035556]; regulation of Rho protein signal transduction [GO:0035023],NA,NA,NA
CHOYP_BRAFLDRAFT_91068.1.1.m.9955,-0.003992852,-0.003017466,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; kinocilium [GO:0060091]; stereocilium [GO:0032420]; positive regulation of GTPase activity [GO:0043547],NA,NA,NA
CHOYP_BRAFLDRAFT_91316.1.1.m.46558,-0.001571145,0.024265163,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; STAT family protein binding [GO:0097677]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin-protein transferase activity [GO:0004842]; cellular response to DNA damage stimulus [GO:0006974]; defense response to virus [GO:0051607]; double-strand break repair [GO:0006302]; endosome to lysosome transport [GO:0008333]; histone H2A ubiquitination [GO:0033522]; histone H2B ubiquitination [GO:0033523]; histone monoubiquitination [GO:0010390]; innate immune response [GO:0045087]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; Notch signaling pathway [GO:0007219]; positive regulation of chromatin binding [GO:0035563]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of NAD+ ADP-ribosyltransferase activity [GO:1901666]; positive regulation of protein binding [GO:0032092]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of receptor catabolic process [GO:2000646]; positive regulation of transcription; DNA-templated [GO:0045893]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein transport [GO:0015031]; ubiquitin-dependent protein catabolic process [GO:0006511],NA,NA,NA
CHOYP_BRAFLDRAFT_91321.1.10.m.20278,0.003945368,0.002913697,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_91321.10.10.m.59301,-0.00693698,0.001671668,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+ binding [GO:0070403]; innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of interferon-gamma-mediated signaling pathway [GO:0060336]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein ADP-ribosylation [GO:0006471]; protein poly-ADP-ribosylation [GO:0070212],NA,NA,NA
CHOYP_BRAFLDRAFT_91321.5.10.m.37054,0.004416559,-0.004827965,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_91321.7.10.m.56158,-0.004809497,-0.005296709,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]; enzyme binding [GO:0019899]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+ binding [GO:0070403]; innate immune response [GO:0045087]; negative regulation of gene expression [GO:0010629]; negative regulation of interferon-gamma-mediated signaling pathway [GO:0060336]; negative regulation of tyrosine phosphorylation of STAT protein [GO:0042532]; positive regulation of interleukin-4-mediated signaling pathway [GO:1902216]; positive regulation of tyrosine phosphorylation of STAT protein [GO:0042531]; protein ADP-ribosylation [GO:0006471]; protein poly-ADP-ribosylation [GO:0070212],NA,NA,NA
CHOYP_BRAFLDRAFT_91394.1.1.m.16068,-0.010984738,-0.016092937,No,NA,NA,NA,NA,NA,NA,lysosome [GO:0005764]; plasma membrane [GO:0005886]; very-low-density lipoprotein particle [GO:0034361]; chloride-transporting ATPase activity [GO:0008555]; prenylcysteine oxidase activity [GO:0001735]; chloride transport [GO:0006821]; prenylated protein catabolic process [GO:0030327]; prenylcysteine catabolic process [GO:0030328],NA,NA,NA
CHOYP_BRAFLDRAFT_91441.1.1.m.47971,0.020623744,-0.010469209,No,NA,NA,NA,NA,NA,NA,anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886],NA,NA,NA
CHOYP_BRAFLDRAFT_91636.1.11.m.28449,-0.014765317,0.001413114,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; GTP binding [GO:0005525]; defense response to virus [GO:0051607]; immune response [GO:0006955],NA,NA,NA
CHOYP_BRAFLDRAFT_91636.4.11.m.45350,-0.008903235,0.006450285,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; immune response [GO:0006955]; response to bacterium [GO:0009617],NA,NA,NA
CHOYP_BRAFLDRAFT_91636.6.11.m.49144,0.00510569,0.018694644,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; immune response [GO:0006955]; response to bacterium [GO:0009617],NA,NA,NA
CHOYP_BRAFLDRAFT_91636.8.11.m.58992,0.005312238,-0.006192895,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; immune response [GO:0006955]; response to bacterium [GO:0009617]; response to virus [GO:0009615],NA,NA,NA
CHOYP_BRAFLDRAFT_91695.1.1.m.31423,-0.012677287,-0.016357529,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_91870.3.3.m.62762,0.00491589,-0.000600715,No,NA,NA,NA,NA,NA,NA,mitochondrial envelope [GO:0005740]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; cholesterol 26-hydroxylase activity [GO:0031073]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen [GO:0016705]; vitamin D3 25-hydroxylase activity [GO:0030343]; cholesterol metabolic process [GO:0008203]; steroid catabolic process [GO:0006706],NA,NA,NA
CHOYP_BRAFLDRAFT_92024.1.1.m.49813,0.007473334,-0.01076928,No,NA,NA,NA,NA,NA,NA,basement membrane [GO:0005604]; collagen-containing extracellular matrix [GO:0062023]; extracellular matrix [GO:0031012]; extracellular space [GO:0005615]; calcium ion binding [GO:0005509]; extracellular matrix structural constituent [GO:0005201]; axon guidance [GO:0007411]; dendrite regeneration [GO:0031104]; glial cell migration [GO:0008347]; growth plate cartilage chondrocyte morphogenesis [GO:0003429]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; response to axon injury [GO:0048678],NA,NA,NA
CHOYP_BRAFLDRAFT_92063.1.2.m.677,-0.00363862,-0.001788222,No,NA,NA,NA,NA,NA,NA,early endosome [GO:0005769]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031],NA,NA,NA
CHOYP_BRAFLDRAFT_92084.1.1.m.10643,-0.0134928,0.000991906,No,NA,NA,NA,NA,NA,NA,nucleolus [GO:0005730]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]; snoRNA binding [GO:0030515]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA; 5.8S rRNA; LSU-rRNA) [GO:0000462],NA,NA,NA
CHOYP_BRAFLDRAFT_92365.3.3.m.51160,0.003647786,-0.008720528,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; ErbB-2 class receptor binding [GO:0005176]; extracellular matrix constituent; lubricant activity [GO:0030197]; cell-matrix adhesion [GO:0007160]; epithelial structure maintenance [GO:0010669]; regulation of signaling receptor activity [GO:0010469],NA,NA,NA
CHOYP_BRAFLDRAFT_92367.1.4.m.29492,-0.000232007,0.02319008,No,NA,NA,NA,NA,NA,NA,cell cortex [GO:0005938]; cleavage furrow [GO:0032154]; metal ion binding [GO:0046872],NA,NA,NA
CHOYP_BRAFLDRAFT_92398.1.2.m.15178,-0.008043435,0.005854311,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_BRAFLDRAFT_92410.1.1.m.36946,0.006574523,0.001537556,No,NA,NA,NA,NA,NA,NA,cell cortex [GO:0005938]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],NA,NA,NA
CHOYP_BRAFLDRAFT_92601.1.1.m.56157,0.015882093,-0.009396365,No,NA,NA,NA,NA,NA,NA,Golgi membrane [GO:0000139]; protein transport [GO:0015031],NA,NA,NA
CHOYP_BRAFLDRAFT_92908.1.1.m.36182,-0.00427848,0.002599584,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; aminopeptidase activity [GO:0004177]; serine-type peptidase activity [GO:0008236],NA,NA,NA
