protein_ID,ASCA_PC1_loadings,ASCA_PC2_loadings,ASCA_PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_AAEL_AAEL007437.1.1.m.29443,0.00433891680103474,0.0120890878937155,No,NA,NA,P86948,NA,NA,NA,extracellular region [GO:0005576],NA,NA,NA
CHOYP_AAEL_AAEL007549.1.1.m.13827,-0.0129121496364578,-0.00821726015519087,No,NA,NA,Q9D9G2,NA,NA,NA,lysosome [GO:0005764],NA,NA,NA
CHOYP_AAEL_AAEL007787.1.1.m.13188,-0.012232268229631,0.00886361061621558,No,NA,NA,P13195,NA,NA,NA,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; 5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]; cellular response to insulin stimulus [GO:0032869]; cellular response to organic cyclic compound [GO:0071407]; protoporphyrinogen IX biosynthetic process [GO:0006782]; response to cAMP [GO:0051591]; response to cobalt ion [GO:0032025]; response to drug [GO:0042493]; response to ethanol [GO:0045471]; response to gonadotropin [GO:0034698]; response to herbicide [GO:0009635]; response to hypoxia [GO:0001666]; response to nickel cation [GO:0010045]; response to nutrient levels [GO:0031667]; response to organic cyclic compound [GO:0014070]; response to organic substance [GO:0010033]; response to platinum ion [GO:0070541],NA,NA,NA
CHOYP_AAEL_AAEL008069.1.2.m.58164,0.00566041758347929,0.00773701376152273,No,NA,NA,P0C6B8,NA,NA,NA,cytoplasm [GO:0005737]; extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; cell adhesion [GO:0007155],NA,NA,NA
CHOYP_AAEL_AAEL008069.2.2.m.60920,0.0153747845383687,-3.33344717685576e-05,No,NA,NA,P46531,NA,NA,NA,acrosomal vesicle [GO:0001669]; adherens junction [GO:0005912]; apical plasma membrane [GO:0016324]; cell surface [GO:0009986]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular region [GO:0005576]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; MAML1-RBP-Jkappa- ICN1 complex [GO:0002193]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; calcium ion binding [GO:0005509]; chromatin DNA binding [GO:0031490]; DNA-binding transcription activator activity; RNA polymerase II-specific [GO:0001228]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; Notch binding [GO:0005112]; protein heterodimerization activity [GO:0046982]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; transmembrane signaling receptor activity [GO:0004888]; animal organ regeneration [GO:0031100]; aortic valve morphogenesis [GO:0003180]; apoptotic process involved in embryonic digit morphogenesis [GO:1902263]; arterial endothelial cell differentiation [GO:0060842]; astrocyte differentiation [GO:0048708]; atrioventricular node development [GO:0003162]; atrioventricular valve morphogenesis [GO:0003181]; auditory receptor cell fate commitment [GO:0009912]; axonogenesis [GO:0007409]; branching morphogenesis of an epithelial tube [GO:0048754]; cardiac atrium morphogenesis [GO:0003209]; cardiac chamber formation [GO:0003207]; cardiac epithelial to mesenchymal transition [GO:0060317]; cardiac left ventricle morphogenesis [GO:0003214]; cardiac muscle cell proliferation [GO:0060038]; cardiac muscle tissue morphogenesis [GO:0055008]; cardiac right atrium morphogenesis [GO:0003213]; cardiac right ventricle formation [GO:0003219]; cardiac septum morphogenesis [GO:0060411]; cardiac vascular smooth muscle cell development [GO:0060948]; cardiac ventricle morphogenesis [GO:0003208]; cell cycle arrest [GO:0007050]; cell differentiation in spinal cord [GO:0021515]; cell fate specification [GO:0001708]; cell migration involved in endocardial cushion formation [GO:0003273]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; cilium assembly [GO:0060271]; collecting duct development [GO:0072044]; compartment pattern specification [GO:0007386]; coronary artery morphogenesis [GO:0060982]; coronary sinus valve morphogenesis [GO:0003182]; coronary vein morphogenesis [GO:0003169]; determination of left/right symmetry [GO:0007368]; distal tubule development [GO:0072017]; embryonic hindlimb morphogenesis [GO:0035116]; endocardial cell differentiation [GO:0060956]; endocardial cushion morphogenesis [GO:0003203]; endocardium development [GO:0003157]; endocardium morphogenesis [GO:0003160]; endoderm development [GO:0007492]; epithelial to mesenchymal transition [GO:0001837]; epithelial to mesenchymal transition involved in endocardial cushion formation [GO:0003198]; forebrain development [GO:0030900]; foregut morphogenesis [GO:0007440]; glomerular mesangial cell development [GO:0072144]; growth involved in heart morphogenesis [GO:0003241]; hair follicle morphogenesis [GO:0031069]; heart development [GO:0007507]; heart looping [GO:0001947]; heart trabecula morphogenesis [GO:0061384]; homeostasis of number of cells within a tissue [GO:0048873]; humoral immune response [GO:0006959]; immune response [GO:0006955]; in utero embryonic development [GO:0001701]; inflammatory response to antigenic stimulus [GO:0002437]; interleukin-4 secretion [GO:0072602]; keratinocyte differentiation [GO:0030216]; left/right axis specification [GO:0070986]; liver development [GO:0001889]; lung development [GO:0030324]; mesenchymal cell development [GO:0014031]; mitral valve formation [GO:0003192]; negative regulation of anoikis [GO:2000811]; negative regulation of biomineral tissue development [GO:0070168]; negative regulation of BMP signaling pathway [GO:0030514]; negative regulation of calcium ion-dependent exocytosis [GO:0045955]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cardiac muscle hypertrophy [GO:0010614]; negative regulation of catalytic activity [GO:0043086]; negative regulation of cell migration involved in sprouting angiogenesis [GO:0090051]; negative regulation of cell proliferation [GO:0008285]; negative regulation of cell proliferation involved in heart valve morphogenesis [GO:0003252]; negative regulation of cell-substrate adhesion [GO:0010812]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of endothelial cell chemotaxis [GO:2001027]; negative regulation of extracellular matrix constituent secretion [GO:0003332]; negative regulation of gene expression [GO:0010629]; negative regulation of glial cell proliferation [GO:0060253]; negative regulation of growth rate [GO:0045967]; negative regulation of inner ear auditory receptor cell differentiation [GO:0045608]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of myotube differentiation [GO:0010832]; negative regulation of neurogenesis [GO:0050768]; negative regulation of oligodendrocyte differentiation [GO:0048715]; negative regulation of ossification [GO:0030279]; negative regulation of osteoblast differentiation [GO:0045668]; negative regulation of photoreceptor cell differentiation [GO:0046533]; negative regulation of pro-B cell differentiation [GO:2000974]; negative regulation of stem cell differentiation [GO:2000737]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription; DNA-templated [GO:0045892]; neural tube development [GO:0021915]; neuronal stem cell population maintenance [GO:0097150]; Notch signaling involved in heart development [GO:0061314]; Notch signaling pathway [GO:0007219]; Notch signaling pathway involved in regulation of secondary heart field cardioblast proliferation [GO:0003270]; oligodendrocyte differentiation [GO:0048709]; outflow tract morphogenesis [GO:0003151]; pericardium morphogenesis [GO:0003344]; positive regulation of aorta morphogenesis [GO:1903849]; positive regulation of apoptotic process involved in morphogenesis [GO:1902339]; positive regulation of astrocyte differentiation [GO:0048711]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of cardiac epithelial to mesenchymal transition [GO:0062043]; positive regulation of cardiac muscle cell proliferation [GO:0060045]; positive regulation of cell migration [GO:0030335]; positive regulation of cell proliferation [GO:0008284]; positive regulation of endothelial cell differentiation [GO:0045603]; positive regulation of epithelial cell proliferation [GO:0050679]; positive regulation of epithelial to mesenchymal transition [GO:0010718]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of gene expression [GO:0010628]; positive regulation of JAK-STAT cascade [GO:0046427]; positive regulation of keratinocyte differentiation [GO:0045618]; positive regulation of neuroblast proliferation [GO:0002052]; positive regulation of Notch signaling pathway [GO:0045747]; positive regulation of Ras protein signal transduction [GO:0046579]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to hypoxia [GO:0061419]; positive regulation of transcription of Notch receptor target [GO:0007221]; positive regulation of transcription; DNA-templated [GO:0045893]; positive regulation of viral genome replication [GO:0045070]; prostate gland epithelium morphogenesis [GO:0060740]; pulmonary valve morphogenesis [GO:0003184]; regulation of epithelial cell proliferation involved in prostate gland development [GO:0060768]; regulation of extracellular matrix assembly [GO:1901201]; regulation of somitogenesis [GO:0014807]; regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003256]; regulation of transcription; DNA-templated [GO:0006355]; response to corticosteroid [GO:0031960]; response to lipopolysaccharide [GO:0032496]; response to muramyl dipeptide [GO:0032495]; secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development [GO:0060528]; skeletal muscle cell differentiation [GO:0035914]; somatic stem cell division [GO:0048103]; spermatogenesis [GO:0007283]; sprouting angiogenesis [GO:0002040]; tissue regeneration [GO:0042246]; transcription initiation from RNA polymerase II promoter [GO:0006367]; tube formation [GO:0035148]; vasculogenesis involved in coronary vascular morphogenesis [GO:0060979]; venous endothelial cell differentiation [GO:0060843]; ventricular septum morphogenesis [GO:0060412]; ventricular trabecula myocardium morphogenesis [GO:0003222],NA,NA,NA
CHOYP_AAEL_AAEL008069.2.2.m.60921,0.0146905549827638,0.0184645215539331,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL008257.2.3.m.36861,0.00416160577734534,-0.00704066349329465,No,NA,NA,P48809,NA,NA,NA,cytoplasm [GO:0005737]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; P granule [GO:0043186]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; poly(G) binding [GO:0034046]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]; axon guidance [GO:0007411]; negative regulation of oskar mRNA translation [GO:0007319]; pole plasm oskar mRNA localization [GO:0045451]; positive regulation of border follicle cell migration [GO:1903688]; positive regulation of mRNA splicing; via spliceosome [GO:0048026]; positive regulation of translation [GO:0045727]; regulation of mRNA splicing; via spliceosome [GO:0048024]; spermatogenesis [GO:0007283],NA,NA,NA
CHOYP_AAEL_AAEL009169.1.1.m.24699,-0.00342756939873892,-0.00044571902491485,No,NA,NA,Q3TZZ7,NA,NA,NA,endoplasmic reticulum-plasma membrane contact site [GO:0140268]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; integral component of plasma membrane [GO:0005887]; intrinsic component of endoplasmic reticulum membrane [GO:0031227]; organelle membrane contact site [GO:0044232]; calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; identical protein binding [GO:0042802]; phosphatidylcholine binding [GO:0031210]; phosphatidylethanolamine binding [GO:0008429]; phosphatidylinositol binding [GO:0035091]; endocytosis [GO:0006897]; endoplasmic reticulum-plasma membrane tethering [GO:0061817]; lipid transport [GO:0006869],NA,NA,NA
CHOYP_AAEL_AAEL009187.1.1.m.25730,0.00041971621432251,0.0044979143575507,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL009387.1.1.m.66163,-0.00116235689698661,-0.00188234275082209,No,NA,NA,Q9NFT7,NA,NA,NA,cytosol [GO:0005829]; ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158]; cellular glucose homeostasis [GO:0001678]; fructose metabolic process [GO:0006000]; glucose metabolic process [GO:0006006]; glycolytic process [GO:0006096]; mannose metabolic process [GO:0006013],NA,NA,NA
CHOYP_AAEL_AAEL009414.1.1.m.639,-0.0008545139242965,-0.00102289211358115,No,NA,NA,Q5BK63,NA,NA,NA,mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; NADH dehydrogenase activity [GO:0003954]; protein-containing complex binding [GO:0044877]; circadian rhythm [GO:0007623]; mitochondrial respiratory chain complex I assembly [GO:0032981]; response to glucose [GO:0009749]; ubiquinone-6 biosynthetic process [GO:1901006],NA,NA,NA
CHOYP_AAEL_AAEL010339.1.1.m.63259,-0.0191222163721963,-0.0156302879276524,No,NA,NA,Q8R035,NA,NA,NA,mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; aminoacyl-tRNA hydrolase activity [GO:0004045]; translation release factor activity; codon nonspecific [GO:0016150]; mitochondrial translational termination [GO:0070126],NA,NA,NA
CHOYP_AAEL_AAEL010626.1.1.m.52019,0.00586779328997207,-0.0106528766453952,No,NA,NA,P56719,NA,NA,NA,integral component of plasma membrane [GO:0005887]; G protein-coupled receptor activity [GO:0004930]; orexin receptor activity [GO:0016499]; peptide hormone binding [GO:0017046]; circadian sleep/wake cycle process [GO:0022410]; feeding behavior [GO:0007631]; G protein-coupled receptor signaling pathway [GO:0007186]; neuropeptide signaling pathway [GO:0007218]; phospholipase C-activating G protein-coupled receptor signaling pathway [GO:0007200]; regulation of circadian sleep/wake cycle; wakefulness [GO:0010840]; regulation of cytosolic calcium ion concentration [GO:0051480],NA,NA,NA
CHOYP_AAEL_AAEL010939.1.1.m.64870,-0.00496371345125912,-0.0122608535741957,No,NA,NA,Q66HY8,NA,NA,NA,endoplasmic reticulum [GO:0005783]; carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; sphinganine-1-phosphate aldolase activity [GO:0008117]; ameboidal-type cell migration [GO:0001667]; carboxylic acid metabolic process [GO:0019752]; sphingolipid catabolic process [GO:0030149]; sphingolipid metabolic process [GO:0006665],NA,NA,NA
CHOYP_AAEL_AAEL011273.1.1.m.12717,-0.00129810107525146,0.000848228606190024,No,NA,NA,Q9NWZ5,NA,NA,NA,cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; uridine kinase activity [GO:0004849]; CTP salvage [GO:0044211]; pyrimidine nucleoside salvage [GO:0043097]; UMP salvage [GO:0044206]; viral process [GO:0016032],NA,NA,NA
CHOYP_AAEL_AAEL011391.1.1.m.10090,0.000508679238733641,0.0029302202906527,No,NA,NA,Q58DQ5,NA,NA,NA,mitochondrial inner membrane [GO:0005743]; mitochondrial small ribosomal subunit [GO:0005763]; nucleolus [GO:0005730]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA; 5.8S rRNA; LSU-rRNA) [GO:0000462]; translation [GO:0006412],NA,NA,NA
CHOYP_AAEL_AAEL011527.1.1.m.20909,0.000557208748820449,0.000790330492964386,No,NA,NA,Q99L45,NA,NA,NA,cytoplasm [GO:0005737]; eukaryotic translation initiation factor 2 complex [GO:0005850]; metal ion binding [GO:0046872]; translation initiation factor activity [GO:0003743]; in utero embryonic development [GO:0001701]; male germ cell proliferation [GO:0002176]; male gonad development [GO:0008584],NA,NA,NA
CHOYP_AAEL_AAEL011814.1.1.m.48797,-0.00382867793807539,0.00866953899744633,No,NA,NA,P82924,NA,NA,NA,mitochondrial inner membrane [GO:0005743]; mitochondrial large ribosomal subunit [GO:0005762]; mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412],NA,NA,NA
CHOYP_AAEL_AAEL011979.1.1.m.59057,0.00130543229033116,0.00311771213655229,No,NA,NA,Q91WQ9,NA,NA,NA,nucleus [GO:0005634]; calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722]; spindle pole body organization [GO:0051300],NA,NA,NA
CHOYP_AAEL_AAEL012012.1.1.m.11873,0.0138995681820087,0.00791750810663809,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL012950.1.1.m.1373,-0.00482077074694443,0.00454646673158723,No,NA,NA,P91929,NA,NA,NA,cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrial respiratory chain complex I [GO:0005747]; mitochondrion [GO:0005739]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; mitochondrial electron transport; NADH to ubiquinone [GO:0006120],NA,NA,NA
CHOYP_AAEL_AAEL013229.1.2.m.30359,0,0,No,NA,NA,P06605,NA,NA,NA,cytoplasm [GO:0005737]; microtubule [GO:0005874]; perinuclear region of cytoplasm [GO:0048471]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin binding [GO:0017022]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]; mitotic cytokinesis [GO:0000281],NA,NA,NA
CHOYP_AAEL_AAEL013229.2.2.m.57593,-0.00778263676126487,-0.000696578877090774,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_AAEL_AAEL014931.1.1.m.24932,0.00350273374742128,0.0109006007858788,No,NA,NA,Q6IDD9,NA,NA,NA,axon [GO:0030424]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; neuron projection [GO:0043005]; neuronal cell body [GO:0043025]; signaling adaptor activity [GO:0035591]; innate immune response [GO:0045087]; negative regulation of MyD88-independent toll-like receptor signaling pathway [GO:0034128]; regulation of neuron death [GO:1901214]; response to axon injury [GO:0048678]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_AAEL_AAEL015271.1.1.m.56223,-0.00744269714331748,-0.0116285695781439,No,NA,NA,P15153,NA,NA,NA,cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; lamellipodium [GO:0030027]; nuclear envelope [GO:0005635]; phagocytic vesicle membrane [GO:0030670]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; phosphatidylinositol-4;5-bisphosphate 3-kinase activity [GO:0046934]; protein kinase regulator activity [GO:0019887]; actin filament organization [GO:0007015]; bone resorption [GO:0045453]; cell projection assembly [GO:0030031]; chemotaxis [GO:0006935]; G protein-coupled receptor signaling pathway [GO:0007186]; lymphocyte aggregation [GO:0071593]; neuron projection morphogenesis [GO:0048812]; positive regulation of cell proliferation [GO:0008284]; positive regulation of lamellipodium assembly [GO:0010592]; positive regulation of neutrophil chemotaxis [GO:0090023]; positive regulation of protein kinase B signaling [GO:0051897]; positive regulation of protein targeting to mitochondrion [GO:1903955]; Rac protein signal transduction [GO:0016601]; regulation of cell-substrate adhesion [GO:0010810]; regulation of hydrogen peroxide metabolic process [GO:0010310]; regulation of mast cell chemotaxis [GO:0060753]; regulation of mast cell degranulation [GO:0043304]; regulation of neutrophil migration [GO:1902622]; regulation of respiratory burst [GO:0060263]; regulation of small GTPase mediated signal transduction [GO:0051056]; regulation of T cell proliferation [GO:0042129]; Rho protein signal transduction [GO:0007266]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_AAK1.1.1.m.14768,-0.00802850353661043,0.00945131538572788,No,NA,NA,Q2M2I8,NA,NA,NA,cell leading edge [GO:0031252]; clathrin-coated pit [GO:0005905]; clathrin-coated vesicle [GO:0030136]; cytosol [GO:0005829]; extrinsic component of plasma membrane [GO:0019897]; nucleus [GO:0005634]; terminal bouton [GO:0043195]; AP-2 adaptor complex binding [GO:0035612]; ATP binding [GO:0005524]; Notch binding [GO:0005112]; protein serine/threonine kinase activity [GO:0004674]; endocytosis [GO:0006897]; membrane organization [GO:0061024]; positive regulation of Notch signaling pathway [GO:0045747]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; protein stabilization [GO:0050821]; regulation of clathrin-dependent endocytosis [GO:2000369]; regulation of endocytosis [GO:0030100]; regulation of protein localization [GO:0032880],NA,NA,NA
CHOYP_AAK1.1.1.m.14769,-0.00571852894109932,-0.0215162975402396,No,NA,NA,Q9UBL3,NA,NA,NA,histone methyltransferase complex [GO:0035097]; MLL1 complex [GO:0071339]; MLL3/4 complex [GO:0044666]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]; beta-catenin binding [GO:0008013]; euchromatin binding [GO:1990188]; histone-lysine N-methyltransferase activity [GO:0018024]; metal ion binding [GO:0046872]; transcription regulatory region DNA binding [GO:0044212]; beta-catenin-TCF complex assembly [GO:1904837]; cellular response to DNA damage stimulus [GO:0006974]; hemopoiesis [GO:0030097]; histone H3-K4 methylation [GO:0051568]; positive regulation of cell proliferation [GO:0008284]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of megakaryocyte differentiation [GO:0045652]; regulation of transcription; DNA-templated [GO:0006355]; response to estrogen [GO:0043627]; transcription; DNA-templated [GO:0006351],NA,NA,NA
CHOYP_AAKG2.1.1.m.55638,0.0106425008135631,-0.0118834051778936,No,NA,NA,Q9UGJ0,NA,NA,NA,cytosol [GO:0005829]; extracellular space [GO:0005615]; nucleoplasm [GO:0005654]; nucleotide-activated protein kinase complex [GO:0031588]; ADP binding [GO:0043531]; AMP binding [GO:0016208]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; cAMP-dependent protein kinase inhibitor activity [GO:0004862]; cAMP-dependent protein kinase regulator activity [GO:0008603]; phosphorylase kinase regulator activity [GO:0008607]; protein kinase activator activity [GO:0030295]; protein kinase binding [GO:0019901]; ATP biosynthetic process [GO:0006754]; cell cycle arrest [GO:0007050]; fatty acid biosynthetic process [GO:0006633]; glycogen metabolic process [GO:0005977]; intracellular signal transduction [GO:0035556]; macroautophagy [GO:0016236]; negative regulation of protein kinase activity [GO:0006469]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; positive regulation of protein kinase activity [GO:0045860]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of fatty acid metabolic process [GO:0019217]; regulation of fatty acid oxidation [GO:0046320]; regulation of glucose import [GO:0046324]; regulation of glycolytic process [GO:0006110]; sterol biosynthetic process [GO:0016126],NA,NA,NA
CHOYP_AAMP.1.1.m.13698,0.0217940799616876,-0.0111005134334116,No,NA,NA,Q13685,NA,NA,NA,cell surface [GO:0009986]; cytosol [GO:0005829]; intercellular bridge [GO:0045171]; microtubule cytoskeleton [GO:0015630]; plasma membrane [GO:0005886]; heparin binding [GO:0008201]; unfolded protein binding [GO:0051082]; angiogenesis [GO:0001525]; cell differentiation [GO:0030154]; positive regulation of endothelial cell migration [GO:0010595]; ribosomal large subunit biogenesis [GO:0042273]; smooth muscle cell migration [GO:0014909],NA,NA,NA
CHOYP_AASI_1435.2.35.m.17918,0.00604817924627315,-0.00187276723045558,No,NA,NA,Q99NH0,NA,NA,NA,chromatin [GO:0000785]; cytoplasm [GO:0005737]; nuclear membrane [GO:0031965]; nucleus [GO:0005634]; chromatin binding [GO:0003682]; RNA binding [GO:0003723]; blood vessel maturation [GO:0001955]; defense response to bacterium [GO:0042742]; endoderm development [GO:0007492]; innate immune response [GO:0045087]; negative regulation of smooth muscle cell differentiation [GO:0051151]; positive regulation of cell cycle [GO:0045787]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of MDA-5 signaling pathway [GO:1900245]; positive regulation of RIG-I signaling pathway [GO:1900246]; regulation of DNA replication [GO:0006275],NA,NA,NA
CHOYP_AASI_1435.28.35.m.60443,0.00769147418022098,-0.0100281390524203,No,NA,NA,O70511,NA,NA,NA,axon initial segment [GO:0043194]; cell surface [GO:0009986]; costamere [GO:0043034]; cytoskeleton [GO:0005856]; dendrite [GO:0030425]; intercalated disc [GO:0014704]; lysosome [GO:0005764]; neuromuscular junction [GO:0031594]; neuron projection [GO:0043005]; node of Ranvier [GO:0033268]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; T-tubule [GO:0030315]; Z disc [GO:0030018]; cadherin binding [GO:0045296]; cytoskeletal protein binding [GO:0008092]; ion channel binding [GO:0044325]; phosphorylation-dependent protein binding [GO:0140031]; protein binding; bridging [GO:0030674]; spectrin binding [GO:0030507]; cellular response to magnesium ion [GO:0071286]; magnesium ion homeostasis [GO:0010960]; membrane assembly [GO:0071709]; negative regulation of delayed rectifier potassium channel activity [GO:1902260]; neuromuscular junction development [GO:0007528]; positive regulation of cation channel activity [GO:2001259]; positive regulation of cell communication by electrical coupling [GO:0010650]; positive regulation of gene expression [GO:0010628]; positive regulation of homotypic cell-cell adhesion [GO:0034112]; positive regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900827]; positive regulation of membrane potential [GO:0045838]; positive regulation of protein targeting to membrane [GO:0090314]; positive regulation of sodium ion transmembrane transporter activity [GO:2000651]; positive regulation of sodium ion transport [GO:0010765]; protein localization to axon [GO:0099612]; protein localization to plasma membrane [GO:0072659]; regulation of potassium ion transport [GO:0043266]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_AASI_1435.35.35.m.65339,-0.00284842625809869,-0.0122600929897782,No,NA,NA,Q4UMH6,NA,NA,NA,guanosine tetraphosphate metabolic process [GO:0015969],NA,NA,NA
CHOYP_AATF.1.1.m.34004,0.000134783524393238,0.00367994048325808,No,NA,NA,Q5ZIM6,NA,NA,NA,cytoplasm [GO:0005737]; nucleolus [GO:0005730]; leucine zipper domain binding [GO:0043522]; cell adhesion [GO:0007155]; cellular response to DNA damage stimulus [GO:0006974]; embryonic cleavage [GO:0040016]; negative regulation of amyloid precursor protein biosynthetic process [GO:0042985]; negative regulation of apoptotic process [GO:0043066]; negative regulation of superoxide anion generation [GO:0032929]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of mitotic cell cycle [GO:0007346]; ribosome biogenesis [GO:0042254],NA,NA,NA
CHOYP_AATM.1.1.m.32176,0.0010977201991004,0.00159942436126896,No,NA,NA,Q28F67,NA,NA,NA,mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; kynurenine-oxoglutarate transaminase activity [GO:0016212]; L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]; 2-oxoglutarate metabolic process [GO:0006103]; aspartate catabolic process [GO:0006533]; aspartate metabolic process [GO:0006531]; biosynthetic process [GO:0009058]; glutamate metabolic process [GO:0006536],NA,NA,NA
